variation_id,direction_rank,sensitivity,interpretation,spectral_effect,Rsh_component,Ra_component,Ca_component,Rb_component,Cb_component
variation_000,1,850738.6601382508,Primary: Ca (70.7%),Low-frequency magnitude,-1.390076177184865e-06,2.6114396428949306e-09,0.7071067811858645,2.6114396313374886e-09,0.7071067811858642
variation_000,2,4.292346995231811,Primary: Rsh (99.6%),Mid-frequency phase,-0.9963875019188592,0.06004975444074063,-9.79607316690942e-07,0.06004975445064386,-9.795991272903953e-07
variation_000,3,0.06512353632201039,Primary: Rb (70.5%),High-frequency behavior,0.08492317715419509,0.7045523591838256,8.234026055658942e-08,0.7045523594102355,7.9403193966653e-08
variation_001,1,932281.6472842925,Primary: Ca (81.3%),Low-frequency magnitude,-1.259124717234679e-06,1.3676126747357218e-09,0.8127312642796152,1.9169267365507436e-09,0.582638732029439
variation_001,2,1363.1655787733052,Primary: Cb (81.3%),Mid-frequency phase,-0.002180914071937841,0.00020981337182604846,-0.5826373292846155,0.0001496494389235014,0.8127293028563048
variation_001,3,3.058291872436103,Primary: Rsh (99.6%),High-frequency behavior,0.9961436337739326,-0.06858574512926287,-0.001277919558664126,-0.05467209594814855,0.0017847417088305481
variation_002,1,847875.0095015294,Primary: Ca (83.1%),Low-frequency magnitude,-1.4032696839727653e-06,3.5282822275679496e-09,0.8305220956912732,2.9729194297781496e-09,0.5569856807554453
variation_002,2,1617.8079235524422,Primary: Cb (83.1%),Mid-frequency phase,-0.0018926845280097914,0.0001071624672367417,-0.5569846809841896,6.416932335413931e-05,0.8305206001615622
variation_002,3,3.199304210082605,Primary: Rsh (99.9%),High-frequency behavior,0.9989184938973426,-0.03734530064268324,-0.0010551122965573817,-0.027632854963927884,0.0015757964199192627
variation_003,1,1031231.2001152022,Primary: Cb (88.0%),Low-frequency magnitude,-1.1304810912957258e-06,6.908134349267919e-10,0.4744525472764447,-9.068065473318332e-10,0.8802810803269687
variation_003,2,4067.905822028217,Primary: Ca (88.0%),Mid-frequency phase,0.0007471024310500195,-4.481646806798996e-05,-0.8802808288638496,-0.00010121699294644414,0.4744524127026185
variation_003,3,2.9037004338131656,Primary: Rsh (99.4%),High-frequency behavior,-0.9939528585647782,0.05640341926893397,-0.0006648358163742324,0.09421146294472507,0.00035705578045337223
variation_004,1,1119106.8760313098,Primary: Cb (90.1%),Low-frequency magnitude,-1.0388410939715332e-06,1.0497706906840227e-09,0.433307018782071,-1.8701043878405094e-10,0.9012463744576813
variation_004,2,4742.5039511026125,Primary: Ca (90.1%),Mid-frequency phase,0.0006097488979859628,-2.9887864652315486e-05,-0.9012462034183072,-7.916306233567235e-05,0.43330693725152114
variation_004,3,3.196433774329274,Primary: Rsh (99.6%),High-frequency behavior,-0.9957281496155425,0.04576836130669191,-0.000554588764645502,0.0801893453792899,0.0002654909630369202
variation_005,1,1031028.535961466,Primary: Cb (88.0%),Low-frequency magnitude,-1.1278290100852573e-06,7.857512085324536e-10,0.47444803143642456,-1.2624970777220918e-09,0.8802835142525556
variation_005,2,2729.576968851537,Primary: Ca (88.0%),Mid-frequency phase,-0.001080568832355418,7.9220886635858e-05,0.8802829873381794,0.00014808576422993167,-0.4744477488287053
variation_005,3,2.9974883270280177,Primary: Rsh (99.3%),High-frequency behavior,0.9933737033752729,-0.06284465555226526,0.0009623614558529344,-0.09621871364310065,-0.0005174130916918307
variation_006,1,1119784.6143870852,Primary: Ca (90.1%),Low-frequency magnitude,-1.053865928361482e-06,9.91261808540818e-10,0.9012529330302403,1.85968771220221e-09,0.4332933771744947
variation_006,2,1939.9624603826906,Primary: Cb (90.1%),Mid-frequency phase,-0.0015787279679183653,0.00014862813348317955,-0.4332928326140473,7.770065551589087e-05,0.9012517965006144
variation_006,3,3.0246247274883395,Primary: Rsh (99.7%),High-frequency behavior,0.9969127507856749,-0.0665555089181507,-0.0006866820158614427,-0.04162707098733418,0.001430727930035939
variation_007,1,1258817.3739530193,Primary: Ca (90.1%),Low-frequency magnitude,-9.165549618670736e-07,-2.2068360460038377e-09,0.9012436289679118,1.7158400255069918e-10,0.4333127291505617
variation_007,2,5930.975844746933,Primary: Cb (90.1%),Mid-frequency phase,-0.00047789150062669763,7.854677603515282e-05,-0.43331267853845695,2.9626423803889434e-05,0.9012435226897451
variation_007,3,3.199294302697794,Primary: Rsh (99.3%),High-frequency behavior,0.9932004207735543,-0.10108666730868421,-0.0002090300159785947,-0.057742318340080694,0.0004368601867169696
variation_008,1,802358.2817239526,Primary: Ca (88.0%),Low-frequency magnitude,-1.4809701018309225e-06,2.6373841808121403e-09,0.8802919034692974,3.437884067638178e-09,0.474432465883405
variation_008,2,588.68593927729,Primary: Cb (88.0%),Mid-frequency phase,-0.005393635673575819,0.00036599601056438964,-0.4744255266580398,0.00023857959126212216,0.880279011152806
variation_008,3,2.877690308111623,Primary: Rsh (99.8%),High-frequency behavior,0.9979605226508255,-0.05212143763271248,-0.002565609931746235,-0.03645377328065431,0.00476351014185645
variation_009,1,848072.0008349934,Primary: Cb (83.1%),Low-frequency magnitude,-1.4110858383048834e-06,3.25307744648539e-09,0.5569790744506192,3.191179540543098e-09,0.8305265261399787
variation_009,2,534.9581493375861,Primary: Ca (83.1%),Mid-frequency phase,-0.005905266095446348,0.0001997263094658884,0.8305119927624531,0.0002728448103592635,-0.5569693379129524
variation_009,3,3.1015217568672595,Primary: Rsh (99.9%),High-frequency behavior,0.999080957846567,-0.0262656429051263,0.004912758657689141,-0.033352314206357606,-0.0032929638045416185
variation_010,1,1275972.0745663485,Primary: Ca (94.0%),Low-frequency magnitude,-9.054561196373386e-07,-2.583745733548571e-09,0.9404507300673013,6.352174717141383e-10,0.339930028557437
variation_010,2,4241.265519287148,Primary: Cb (94.0%),Mid-frequency phase,-0.0006788620756219012,0.00011062881321209125,-0.33992994846676017,3.907197327758518e-05,0.9404505066808749
variation_010,3,3.130621574583915,Primary: Rsh (99.3%),High-frequency behavior,0.9930008443067638,-0.10551047538938138,-0.00023297783386821064,-0.053069667808997835,0.0006472009980239372
